filename,video_link,current_category,suggested_category,confidence,difficulty,equipment,focus_area,description,coaching_cues,full_transcript
IMG_0280.MOV,https://drive.google.com/file/d/1yNtRXHm_ZMylV3FFPSspfS2hCWmB_rin/view,Release Moves,Release Moves,100,Beginner,None,"Agility, Technique",This drill focuses on helping the wide receiver practice getting away from the line of scrimmage by using proper release techniques. The emphasis is on quick movements to evade defenders.,Push away from the line | Focus on quick footwork," Ready, go! You're gonna push away, you gotta get away from that line. Go! Take your take, take it. Out of the way, there we go. Ready, go! Now, nope, do it again. Go right there, here, here, here, start up."
IMG_2399.MOV,https://drive.google.com/file/d/1xiuwlgmk_JkOL3q-hxCLowiSenyXdFg2/view,Footwork,,100,Intermediate,None,"Agility, Technique","This drill emphasizes quick footwork and agility, encouraging the athlete to reach a specific point with speed and precision.",Focus on your foot placement | Keep your speed up while maintaining control," Ready, go! Do it. You got to try to get here."
IMG_2344.MOV,https://drive.google.com/file/d/1GPwXnGjudvomGSIPCBGIw5HEcPp5e_0N/view,Speed/Conditioning,Speed/Conditioning,100,Intermediate,None,"Speed, Explosiveness",The drill emphasizes pushing through to build speed and explosiveness. It involves multiple repetitions to enhance conditioning.,Maintain a fast tempo | Focus on explosive starts, Go! Push push! Good! Go! Push push! Good! Push push! Good!
IMG_2341.MOV,https://drive.google.com/file/d/1HRiEYYKMinaK_ydbQDqGRCH-I6wrrbGM/view,Release Moves,Agility,100,Intermediate,None,"Agility, Technique","The drill involves quick stops and starts, focusing on making effective moves to create separation from a defender.",Make decisive moves | Maintain balance while changing direction," You're stopping, starting it. You doing? Huh? Yeah. Thanks. This guy would be over making a whole move. I'm going to make that. I'm going to make that. Okay."
IMG_2355.MOV,https://drive.google.com/file/d/15OauU8ongVtM9qLOdZjyTPsxDaC5iTPz/view,Release Moves,Release Moves,100,Intermediate,None,Technique,This drill focuses on improving the receiver's release techniques and hand movements to effectively execute a route. The emphasis is on coordinated hand actions alongside body movement.,Push off the line with urgency | Use hands effectively to create separation, Push push good So the hands with it good Nice swap
IMG_2339.MOV,https://drive.google.com/file/d/1Ec5V9r3kw2-aJDIQGoKp0cIqdY2XO4Vt/view,Footwork,,100,Intermediate,None,"Agility, Technique","The drill emphasizes maintaining balance and proper foot placement while moving around a defender, with a focus on agility and technique.",Maintain body control while maneuvering. | Use proper breathing techniques to manage stamina.," Just hold him up. And though, one. Breathe to go behind him and take some knees. Three. Four. Five. Let me go breathe."
IMG_0285.MOV,https://drive.google.com/file/d/1qcaHnY_rTzOwOSIPuBwsRTtNLMbDZwsb/view,Speed/Conditioning,,100,Beginner,None,Speed,"This drill emphasizes speed and quickness, likely focusing on burst off the line.",Start explosively | Maintain good form while sprinting," Now here we go, ready, go! There we go, nice!"
IMG_2076.MOV,https://drive.google.com/file/d/1nzoVUpfet-LR6H3pYNHW3libqh6GkjUr/view,Speed/Conditioning,,100,Beginner,None,"Speed, Agility",This drill focuses on enhancing the athlete's speed and agility through straight sprinting. The coach appears to be providing real-time feedback.,Maintain a straight trajectory | Accelerate quickly off the start, Ready? Go! You straight! Good.
IMG_0629.MOV,https://drive.google.com/file/d/1xhkJvAqN2apTGdJbqnLtZxENVniFredr/view,Footwork,Footwork,100,Intermediate,None,"Agility, Technique","The drill focuses on hip movement and swinging with power, likely aimed at enhancing the player's footwork and agility.",Emphasize hip movement for better agility | Relax your body to maintain fluid movement, Ready? Hip! Hip! Hip! Swing hard you can. Hip! Hip! Hip! Hip! Hip! Hip! Hip! Hip! Hip! Hip! Relax.
IMG_5089.MOV,https://drive.google.com/file/d/1mC2gIFKxA06r3NYZFWLvs4nwkkv2AsP7/view,Release Moves,Footwork,100,Intermediate,None,Technique,"This drill focuses on the receiver's initial movement from the line of scrimmage, emphasizing a step back to create space for a quicker release.",Maintain balance while stepping back | Use quick footwork to get off the line effectively, step behind on the line on the point
