filename,video_link,current_category,suggested_category,confidence,action,issues,difficulty,transcript_preview,reviewer_decision,reviewer_category,reviewer_notes
IMG_0627.MOV,https://drive.google.com/file/d/1AP0TsQY6H8AKL4c_likyCNXzqAnQ07ho/view,Other,,0,REMOVE,SHORT_TRANSCRIPT; GARBAGE_TRANSCRIPT; NON_DRILL_CONTENT; UNCATEGORIZED,Beginner, celebrationじゃあ,,,
IMG_5101 (3).MOV,https://drive.google.com/file/d/1sO4Y9QMlSU8SJc4PiYk_BKreDHjaHzY9/view,Other,,0,REMOVE,EMPTY_TRANSCRIPT; GARBAGE_TRANSCRIPT; NON_DRILL_CONTENT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner,到水邊,,,
IMG_0224 (1).MOV,https://drive.google.com/file/d/1--TQStoL4o0Tr0u9zpY_c67lDz8ABuBI/view,Other,,35,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, I'm going to show this to you guys. Bye bye.,,,
IMG_4926 (1).MOV,https://drive.google.com/file/d/11INaVtW0ZQFySYfK8pprBnjDuvYOf5Hy/view,Other,,35,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Thank you. Thank you.,,,
IMG_5071 (1).MOV,https://drive.google.com/file/d/1Zlm6iSz9YdQoWEZG0hU-uvwuiKo2-O8F/view,Other,,35,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, I'm sorry. I'm sorry. I'm sorry.,,,
IMG_4926 (2).MOV,https://drive.google.com/file/d/11INaVtW0ZQFySYfK8pprBnjDuvYOf5Hy/view,Other,,35,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Thank you. Thank you.,,,
IMG_0224 (2).MOV,https://drive.google.com/file/d/1--TQStoL4o0Tr0u9zpY_c67lDz8ABuBI/view,Other,,35,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, I'm going to show this to you guys. Bye bye.,,,
IMG_5071 (2).MOV,https://drive.google.com/file/d/1Zlm6iSz9YdQoWEZG0hU-uvwuiKo2-O8F/view,Other,,35,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, I'm sorry. I'm sorry. I'm sorry.,,,
IMG_5121 (2).MOV,https://drive.google.com/file/d/1Vn37PtZAA4GP70Ql-PXUK8IzOaPzjQIT/view,Other,,35,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, … Hehehe What is she doing? What is she doing?,,,
IMG_4926 (3).MOV,https://drive.google.com/file/d/11INaVtW0ZQFySYfK8pprBnjDuvYOf5Hy/view,Other,,35,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, Thank you. Thank you.,,,
IMG_5071 (3).MOV,https://drive.google.com/file/d/1Zlm6iSz9YdQoWEZG0hU-uvwuiKo2-O8F/view,Other,,35,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, I'm sorry. I'm sorry. I'm sorry.,,,
IMG_0224 (3).MOV,https://drive.google.com/file/d/1--TQStoL4o0Tr0u9zpY_c67lDz8ABuBI/view,Other,,35,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED; POSSIBLE_DUPLICATE,Beginner, I'm going to show this to you guys. Bye bye.,,,
IMG_0224.MOV,https://drive.google.com/file/d/1--TQStoL4o0Tr0u9zpY_c67lDz8ABuBI/view,Other,,45,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED,Beginner, I'm going to show this to you guys. Bye bye.,,,
IMG_5071.MOV,https://drive.google.com/file/d/1Zlm6iSz9YdQoWEZG0hU-uvwuiKo2-O8F/view,Other,,45,REMOVE,NON_DRILL_CONTENT; UNCATEGORIZED,Beginner, I'm sorry. I'm sorry. I'm sorry.,,,
